PARKING LOTS,A,C,DISABLED,METER,TIMEZONE,CARPOOL,ELECTRIC,RESTRICTED,MOTORCYCLE,TOTAL
QUAD PS,309,413,13,65,0,7,6,7,8,835
GATEWAY PS,182,467,22,28,0,1,7,3,4,712
PAVILION PS,296,1099,23,19,14,27,5,36,79,1596
LOT 1,0,270,14,0,3,4,17,12,0,325
LOT 2,0,0,0,0,0,0,0,0,0,513
LOT 3,40,0,11,0,0,20,0,0,14,123
LOT 4,0,0,0,0,20,0,0,0,3,29
LOT 5A,136,0,4,0,0,0,0,0,4,144
LOT 5,0,260,9,7,0,13,0,0,0,289
LOT 6,34,0,6,0,2,8,0,1,7,71
LOT 10,161,0,7,0,14,7,0,0,0,192
LOT 14,165,0,7,0,0,2,0,0,47,234
LOT 15,0,164,2,0,0,4,0,5,0,176
LOT 16,0,33,3,0,0,0,0,0,0,38
LOT 20,26,0,1,0,0,4,0,0,2,36
LOT 21,14,0,0,0,0,1,0,0,0,18
LOT 22,0,147,7,0,0,0,0,0,3,161
LOT 25,0,501,14,14,0,10,0,26,22,603
LOT 26,32,0,1,0,0,4,0,0,6,50
LOT 27,77,0,2,0,0,7,1,2,1,105
LOT 30,0,0,4,12,6,1,0,2,16,300
LOT 31,0,328,5,2,0,5,1,0,8,358
LOT 35,0,150,10,4,0,6,3,21,0,198
LOT 40,0,83,0,0,0,16,0,0,0,99
LOT 41,175,0,3,20,2,20,0,5,4,239
LOT 42,0,0,1,0,0,0,0,18,3,23
LOT 43,0,0,2,0,0,0,0,67,0,94
LOT 43B,0,0,0,0,0,0,0,3,0,17
LOT 44,112,0,5,0,0,15,4,8,4,148
LOT 46,131,0,3,0,0,7,0,1,3,154
LOT 47,0,464,4,0,0,6,0,1,4,480
LOT 48,0,49,1,0,0,0,0,3,0,54
LOT 49,0,35,1,0,2,0,4,4,0,47
LOT 50,0,125,5,0,0,12,0,34,3,181
LOT 51,0,104,2,0,0,0,0,38,1,151
LOT 52,11,0,1,0,0,0,0,0,0,16
LOT 53,0,375,5,0,0,12,0,0,1,407
LOT 54,0,23,1,0,0,0,0,0,0,25
LOT 55,0,131,7,0,2,4,2,23,0,171
LOT 56,73,292,11,16,0,0,2,0,8,406
LOT 57,0,260,6,0,0,0,1,0,4,272
LOT 80,0,153,4,0,2,5,3,1,2,182
LOT 81,0,70,0,0,0,1,0,0,2,74
LOT 82,0,52,2,0,0,0,0,0,2,57
LOT 83,0,132,5,0,2,0,0,0,10,152